Parameter Value,Best,Worst,Avg
50,3240.726892566802,6543.124834216064,3250.9630582359146
100,3264.217191051235,6677.081445455666,3279.3178737799044
200,3142.915588214035,6459.744143752571,3150.8457720270767
400,3160.245974238531,6499.000579771188,3178.826539810846
500,3276.9335583180555,6553.654078716673,3280.776307045555
