Parameter Value,Best,Worst,Avg
0.3,3235.849308579221,6553.315397730945,3299.839453161903
0.4,3161.8103461856044,6431.325009728044,3185.8041521198934
0.5,3240.4539390527166,6451.068999210898,3246.047635138022
0.7,3213.717497853089,6522.720027359203,3229.63261019966
0.9,3236.9405973886232,6490.3588071727,3242.133169742706
