Parameter Value,Best,Worst,Avg
0.01,3122.9659942306544,6558.337209930805,3131.1194110356832
0.1,3144.1954482275614,6416.183489990166,3150.499116589057
0.2,3315.9185253945225,6292.879082301126,3396.0549451225847
0.3,3385.3611126427713,6408.614752703992,3457.8373393151073
0.5,3581.7829588954455,6579.478835964937,3675.114446880113
